phase,method,n_way,k_shot,trial_or_seed,test_acc,val_acc,run_dir
fewshot_lp,shapenet_mix_mae,5,10,4,0.43529411764705883,0.3103448275862069,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t4
fewshot_lp,shapenet_mix_mae,5,10,5,0.6991869918699187,0.6761904761904762,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t5
fewshot_lp,shapenet_mix_mae,5,10,6,0.3911764705882353,0.5,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t6
fewshot_lp,shapenet_mix_mae,5,10,7,0.5461538461538461,0.5841584158415841,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t7
fewshot_lp,shapenet_mix_mae,5,10,8,0.5857142857142857,0.6964285714285714,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t8
fewshot_lp,shapenet_mix_mae,5,10,9,0.6441176470588236,0.7265625,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K10_t9
fewshot_lp,shapenet_mix_mae,5,20,0,0.638235294117647,0.7142857142857143,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t0
fewshot_lp,shapenet_mix_mae,5,20,1,0.3346153846153846,0.2796610169491525,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t1
fewshot_lp,shapenet_mix_mae,5,20,2,0.8803680981595092,0.8742138364779874,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t2
fewshot_lp,shapenet_mix_mae,5,20,3,0.49230769230769234,0.7142857142857143,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t3
fewshot_lp,shapenet_mix_mae,5,20,4,0.45294117647058824,0.3103448275862069,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t4
fewshot_lp,shapenet_mix_mae,5,20,5,0.7560975609756098,0.7142857142857143,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t5
fewshot_lp,shapenet_mix_mae,5,20,6,0.4852941176470588,0.6013513513513513,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t6
fewshot_lp,shapenet_mix_mae,5,20,7,0.5346153846153846,0.5247524752475248,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t7
fewshot_lp,shapenet_mix_mae,5,20,8,0.6476190476190476,0.6726190476190477,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t8
fewshot_lp,shapenet_mix_mae,5,20,9,0.6764705882352942,0.7265625,runs/modelnet40_pointgpt_protocol/fewshot/scan_shapenet_mix_mae_lp_N5_K20_t9
