runset	variant	status	test_acc	model_source	log
patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	obj_bg_off	completed	0.7108	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_off.out
patchcls_nepa2d_comp_objbg_20260228_044626	obj_bg_qk_only	completed	0.7762	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_qk_only.out
patchcls_nepa2d_comp_objbg_ng64_20260228_063529	obj_bg_qk_only	completed	0.7435	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_qk_only.out
patchcls_nepa2d_comp_objbg_nopos_20260228_045548	obj_bg_qk_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_20260228_045548/obj_bg_qk_only.out
patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	obj_bg_qk_only	completed	0.7194	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_qk_only.out
patchcls_nepa2d_comp_objbg_20260228_044626	obj_bg_rope_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_20260228_044626/obj_bg_rope_only.out
patchcls_nepa2d_comp_objbg_ng64_20260228_063529	obj_bg_rope_only	completed	0.7504	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_ng64_20260228_063529/obj_bg_rope_only.out
patchcls_nepa2d_comp_objbg_nopos_20260228_045548	obj_bg_rope_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_20260228_045548/obj_bg_rope_only.out
patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501	obj_bg_rope_only	completed	0.7504	-	logs/sanity/patchcls/patchcls_nepa2d_comp_objbg_nopos_fix2_20260228_053501/obj_bg_rope_only.out
patchcls_pmstrict_align_ng128_initpm_20260228_052736	obj_bg_vanilla	completed	0.7849	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_bg_vanilla.out
patchcls_pmstrict_align_ng64_initpm_20260228_063529	obj_bg_vanilla	completed	0.7659	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_bg_vanilla.out
patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	obj_bg_vanilla	completed	0.7694	patchcls	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/obj_bg_vanilla.out
patchcls_raypatch_s0_20260228_074613	obj_only	completed	0.8055	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/obj_only.out
patchcls_raypatch_s0_strict_20260228_075456	obj_only	completed	0.7883	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/obj_only.out
patchcls_scan3_scratch_20260227_053526	obj_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_20260227_053526/obj_only.out
patchcls_scan3_scratch_h5_20260227_061351	obj_only	completed	0.7797	-	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/obj_only.out
patchcls_scan3_scratch_pmalign_20260227_202814	obj_only	completed	0.8176	-	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/obj_only.out
patchcls_scan3_scratch_retry1_20260227_053722	obj_only	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry1_20260227_053722/obj_only.out
patchcls_scan3_scratch_retry2_20260227_053922	obj_only	completed	0.7212	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/obj_only.out
patchcls_scan3_scratch_v3nonorm_20260227_055706	obj_only	completed	0.7676	-	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/obj_only.out
patchnepa_ptonly_ft_from100047_20260301_004316	obj_only	completed	0.7831	patchcls	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/obj_only.out
patchcls_objonly_ddp4_ckpt_eval_20260227_143730	obj_only_h5	completed	0.7703	-	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_20260227_143730/obj_only_h5.out
patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841	obj_only_h5	completed	0.7719	-	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841/obj_only_h5.out
patchcls_objonly_parity_pointmae_20260227_070409	obj_only_h5	completed	0.7900	-	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_h5.out
patchcls_objonly_parity_pointmae_ddp4_20260227_143511	obj_only_h5	completed	0.7750	-	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_h5.out
patchcls_objonly_parity_randomseed_20260227_063811	obj_only_h5	completed	0.7745	-	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_h5.out
