runset	variant	status	test_acc	patchnepa_ft_mode	pooling	cls_token	is_causal	model_source	log
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r1	obj_only	completed	0.3769	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r0	obj_only	completed	0.5594	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r1	obj_only	completed	0.4406	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r0	obj_only	completed	0.5938	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r1	obj_only	completed	0.3993	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r0	obj_only	completed	0.3838	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r1	obj_only	completed	0.4355	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r0	obj_only	completed	0.4699	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r1	obj_only	completed	0.5095	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r1/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r0	obj_only	completed	0.5594	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r0/obj_only.out
patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r1	obj_only	completed	0.3941	qa_zeroa	cls	last_q	False	patchnepa(direct)	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r1/obj_only.out
patchnepa_stage2_sanity_20260301_162213_ft_layout_interleave	obj_only	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity_20260301_162213_ft_layout_interleave/obj_only.out
patchnepaFT_from_ray_interleave_20260301_014535	pb_t50_rs	no_test_acc	-	-	-	-	-	-	logs/sanity/patchnepa_ft/patchnepaFT_from_ray_interleave_20260301_014535/pb_t50_rs.out
