test_acc	variant	ft_mode	pooling	cls_token	is_causal	model_source	runset	log
0.7298	obj_only	qa_zeroa	cls	bos	False	patchnepa(direct)	patchnepaFT_ablate_objonly_llrdcw_bos_freeze1_20260301_170210	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_llrdcw_bos_freeze1_20260301_170210/obj_only.out
0.7207	pb_t50_rs	qa_zeroa	cls_max	last_q	False	patchnepa(direct)	patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316	logs/sanity/patchnepa_ft/patchnepaFT_from_ptonlyema_rerun_llrdoff_pmhead_20260302_004316/pb_t50_rs.out
0.7160	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_objonly_from_skipk4_gb128_20260301_173714	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_skipk4_gb128_20260301_173714/obj_only.out
0.7108	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_ablate_objonly_llrdcw_lastq_freeze0_20260301_170215	logs/sanity/patchnepa_ft/patchnepaFT_ablate_objonly_llrdcw_lastq_freeze0_20260301_170215/obj_only.out
0.7108	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_objonly_from_multik124_gb128_20260301_174748	logs/sanity/patchnepa_ft/patchnepaFT_objonly_from_multik124_gb128_20260301_174748/obj_only.out
0.7074	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_ft_variants_20260301_223043	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/obj_only.out
0.6833	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_off_E12/obj_only.out
0.6799	obj_bg	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_ft_variants_20260301_223043	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/obj_bg.out
0.6454	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_off_E12/obj_only.out
0.6420	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepaFT_from_fpscmp_fps_20260301_205540	logs/sanity/patchnepa_ft/patchnepaFT_from_fpscmp_fps_20260301_205540/obj_only.out
0.6368	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_off_E12/obj_only.out
0.6317	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_rfps_cached_on_E12/obj_only.out
0.6196	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_random_on_E12/obj_only.out
0.6072	pb_t50_rs	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_ft_variants_20260301_223043	logs/sanity/patchnepa_ft/patchnepa_ft_variants_20260301_223043/pb_t50_rs.out
0.5938	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r0/obj_only.out
0.5594	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r0/obj_only.out
0.5594	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r0/obj_only.out
0.5594	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r0/obj_only.out
0.5525	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r0/obj_only.out
0.5525	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r0/obj_only.out
0.5318	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12	logs/sanity/patchnepa_ft/patchnepa_sanity6_20260301_224515_ft_rayind_fps_on_E12/obj_only.out
0.5095	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r1/obj_only.out
0.4699	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp0_r0/obj_only.out
0.4406	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp1_r1/obj_only.out
0.4406	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp1_r1/obj_only.out
0.4355	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r1/obj_only.out
0.3993	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp0_r1/obj_only.out
0.3941	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta1_tp1_r1/obj_only.out
0.3838	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r0	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d1_ta0_tp1_r0/obj_only.out
0.3769	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta0_tp0_r1/obj_only.out
0.3769	obj_only	qa_zeroa	cls	last_q	False	patchnepa(direct)	patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r1	logs/sanity/patchnepa_ft/patchnepa_stage2_sanity32_20260301_162811_ft_lS_d0_ta1_tp0_r1/obj_only.out
